Date,PRCP,TAVG,SNOW
2015/4/20,0,16.6,0
2015/4/21,1,16.7,0
2015/4/22,0,20.4,0
2015/4/23,15.7,20.9,0
2015/4/24,25.9,20.1,0
2015/4/25,0,21.6,0
2015/4/26,0,23.6,0
2015/4/27,13.5,21.5,0
2015/4/28,0,13.5,0
2015/4/29,0,15.7,0
2015/4/30,0,20.3,0
2015/5/1,0,21.9,0
2015/5/2,0,22.4,0
2015/5/3,0,22.9,0
2015/5/4,0,23.7,0
2015/5/5,1.8,22.5,0
2015/5/6,5.1,23.6,0
2015/5/7,20.8,24.3,0
2015/5/8,0.5,24.7,0
2015/5/9,0,24.8,0
2015/5/10,28.2,23.8,0
2015/5/11,0,20.9,0
2015/5/12,1,19.6,0
2015/5/13,7.1,19.1,0
2015/5/14,0,22.4,0
2015/5/15,3,23.2,0
2015/5/16,0,24.7,0
2015/5/17,55.9,23.8,0
2015/5/18,0,25.8,0
2015/5/19,8.4,24.7,0
2015/5/20,0,25.8,0
2015/5/21,14.2,17.7,0
2015/5/22,2,17.9,0
2015/5/23,39.4,22.5,0
2015/5/24,40.9,21.6,0
2015/5/25,7.9,22.4,0
2015/5/26,6.9,20.8,0
2015/5/27,0,24,0
2015/5/28,16,26.8,0
2015/5/29,108.7,23.2,0
2015/5/30,12.7,22.9,0
2015/5/31,0,21.7,0
2015/6/1,0,22.7,0
2015/6/2,0,25.9,0
2015/6/3,0,27.3,0
2015/6/4,0,28.2,0
2015/6/5,0,28.7,0
2015/6/6,0,29.3,0
2015/6/7,0,29.8,0
2015/6/8,0,30.3,0
2015/6/9,31.5,30.4,0
2015/6/10,0,30.1,0
2015/6/11,0,30.4,0
2015/6/12,0,29.8,0
2015/6/13,23.4,28.1,0
2015/6/14,1,27,0
2015/6/15,9.4,27.8,0
2015/6/16,7.9,26.5,0
2015/6/17,37.1,24.8,0
2015/6/18,0,28.2,0
2015/6/19,0,29.2,0
2015/6/20,0,28.4,0
2015/6/21,0.8,26.5,0
2015/6/22,0,28.3,0
2015/6/23,0,29.7,0
2015/6/24,0,30.8,0
2015/6/25,0,30.6,0
2015/6/26,17.5,30.8,0
2015/6/27,0,27.9,0
2015/6/28,0,28.1,0
2015/6/29,0,30,0
2015/6/30,7.9,29.6,0
2015/7/1,0,29.1,0
2015/7/2,0,28.8,0
2015/7/3,0,29.6,0
2015/7/4,0,30.2,0
2015/7/5,0,30.3,0
2015/7/6,0,30.1,0
2015/7/7,0,29.7,0
2015/7/8,4.3,28.1,0
2015/7/9,0,29.6,0
2015/7/10,0,29.1,0
2015/7/11,0,30.2,0
2015/7/12,0,31.1,0
2015/7/13,0,31.9,0
2015/7/14,0,32,0
2015/7/15,0,31.1,0
2015/7/16,0,31.2,0
2015/7/17,0,31.4,0
2015/7/18,0,32,0
2015/7/19,0,32.1,0
2015/7/20,0,32.8,0
2015/7/21,0,31.9,0
2015/7/22,0,31.8,0
2015/7/23,0,32.4,0
2015/7/24,0,32.5,0
2015/7/25,0,32.6,0
2015/7/26,0,32.6,0
2015/7/27,0,32.9,0
2015/7/28,0,32.8,0
2015/7/29,0,32.6,0
2015/7/30,0,33.8,0
2015/7/31,0,32.3,0
2015/8/1,0,31.4,0
2015/8/2,0,32,0
2015/8/3,0,32.1,0
2015/8/4,0,32.6,0
2015/8/5,0,33.3,0
2015/8/6,0,33.8,0
2015/8/7,0,34,0
2015/8/8,0,33.8,0
2015/8/9,0,33.9,0
2015/8/10,0,34.6,0
2015/8/11,0,34.1,0
2015/8/12,0,32.3,0
2015/8/13,0,31.1,0
2015/8/14,0,31.2,0
2015/8/15,0,30.9,0
2015/8/16,0,30.2,0
2015/8/17,0,31.1,0
2015/8/18,0,31.5,0
2015/8/19,6.4,30.3,0
2015/8/20,5.1,21.4,0
2015/8/21,0,25.8,0
2015/8/22,0,29.6,0
2015/8/23,0,31.6,0
2015/8/24,0,31.5,0
2015/8/25,0,29.6,0
2015/8/26,0,29.2,0
2015/8/27,0,29.6,0
2015/8/28,0,28.9,0
2015/8/29,0,30.2,0
2015/8/30,0,30.5,0
2015/8/31,0,29.7,0
2015/9/1,0,29.6,0
2015/9/2,0,29,0
2015/9/3,0,29.7,0
2015/9/4,0,30.3,0
2015/9/5,2.8,30.7,0
2015/9/6,0,30.9,0
2015/9/7,0,32.4,0
2015/9/8,0,32,0
2015/9/9,67.8,27.9,0
2015/9/10,0,27.7,0
2015/9/11,0,28.9,0
2015/9/12,0,25.1,0
2015/9/13,0,25.5,0
2015/9/14,0,26.6,0
2015/9/15,0,25.6,0
2015/9/16,0,28.2,0
2015/9/17,0,29.2,0
2015/9/18,0,29.9,0
2015/9/19,1.3,27.8,0
2015/9/20,0,26.2,0
2015/9/21,0,26.2,0
2015/9/22,0,28.7,0
2015/9/23,0,28.6,0
2015/9/24,0,27.1,0
2015/9/25,0,27.8,0
2015/9/26,0,26.6,0
2015/9/27,0,25.7,0
2015/9/28,0,26.3,0
2015/9/29,0,27.3,0
2015/9/30,0,27,0
2015/10/1,0,23.6,0
2015/10/2,0,20.9,0
2015/10/3,0,20,0
2015/10/4,0,20.7,0
2015/10/5,0,22.1,0
2015/10/6,0,21.1,0
2015/10/7,0,24.6,0
2015/10/8,0,26.1,0
2015/10/9,0,26.6,0
2015/10/10,0,21.7,0
2015/10/11,0,25.6,0
2015/10/12,0,28.8,0
2015/10/13,0,24.7,0
2015/10/14,0,24.8,0
2015/10/15,0,27.2,0
2015/10/16,0,25.3,0
2015/10/17,0,20.4,0
2015/10/18,0,19.4,0
2015/10/19,0,20.6,0
2015/10/20,0,21.7,0
2015/10/21,0,23.9,0
2015/10/22,47,23.3,0
2015/10/23,130.3,21.4,0
2015/10/24,35.3,19.6,0
2015/10/25,0.5,15.8,0
2015/10/26,0,18,0
2015/10/27,0,20.2,0
2015/10/28,0,19.3,0
2015/10/29,0,18.4,0
2015/10/30,73.7,18.7,0
2015/10/31,13.7,18.4,0
2015/11/1,1.8,15.8,0
2015/11/2,0,16.6,0
2015/11/3,0,17.3,0
2015/11/4,0.3,18.7,0
2015/11/5,8.4,21.9,0
2015/11/6,0,18.8,0
2015/11/7,2.5,16.1,0
2015/11/8,0,13.3,0
2015/11/9,0,14.6,0
2015/11/10,0,17.6,0
2015/11/11,0,23.1,0
2015/11/12,0,15.8,0
2015/11/13,0,13.3,0
2015/11/14,0,12.9,0
2015/11/15,19.1,15,0
2015/11/16,8.9,15.4,0
2015/11/17,25.1,17.3,0
2015/11/18,0,14.5,0
2015/11/19,0,14.8,0
2015/11/20,0,16.1,0
2015/11/21,0,13.2,0
2015/11/22,0,6.4,0
2015/11/23,0,9.3,0
2015/11/24,0,13.4,0
2015/11/25,0,18.3,0
2015/11/26,54.9,20.1,0
2015/11/27,91.4,13.3,0
2015/11/28,23.9,3.6,0
2015/11/29,26.4,4.8,0
2015/11/30,0.3,6.6,0
2015/12/1,0,7.2,0
2015/12/2,0,7.1,0
2015/12/3,0,8,0
2015/12/4,0,8.7,0
2015/12/5,0,8.7,0
2015/12/6,0,11.2,0
2015/12/7,0,10.4,0
2015/12/8,0,13.9,0
2015/12/9,0,13.9,0
2015/12/10,0,15.9,0
2015/12/11,0,15.6,0
2015/12/12,1,21.5,0
2015/12/13,21.6,15.7,0
2015/12/14,0,13.7,0
2015/12/15,0,14.9,0
2015/12/16,0,12.2,0
2015/12/17,0,7.9,0
2015/12/18,0,5.8,0
2015/12/19,0,9.1,0
2015/12/20,0,11.9,0
2015/12/21,0,17.9,0
2015/12/22,0,13.5,0
2015/12/23,0,20.6,0
2015/12/24,0,16.8,0
2015/12/25,0,14.4,0
2015/12/26,33.5,22.4,0
2015/12/27,58.9,9.8,0
2015/12/28,15.2,3.2,0
2015/12/29,0,2.7,0
2015/12/30,0,6,0
2015/12/31,0,6.1,0
